dataset,file,split,horizon_ratio,tilt_deg,bbox_mean_cy,interpretation
pothole,youtube-29_jpg.rf.90b4a6b8f684adbaa0eb50b8f9414705.jpg,train,0.829,47.6,0.469,눈높이(정면)
pothole,images233_jpg.rf.fea14150d37e49307c2d33a065b8598e.jpg,train,0.438,12.4,0.36,눈높이(정면)
pothole,images199_jpg.rf.95e2047f663095c1f36a0543fdf5809b.jpg,train,0.661,32.5,0.557,고각도(내려다봄)
pothole,youtube-32_jpg.rf.ed564f7b029c73c10c7c1aecb8d54458.jpg,train,0.72,37.8,0.435,눈높이(정면)
pothole,images219_jpg.rf.030b186722737c8ea18c2f375fcba1a9.jpg,train,0.542,21.8,0.982,고각도(내려다봄)
pothole,youtube-2_jpg.rf.0af4f7246432cfbc3fcc931919fe28b7.jpg,train,0.557,23.1,0.0,눈높이(정면)
pothole,youtube-28_jpg.rf.1b882807d8011a7dd2f7a0bd66f4d585.jpg,train,0.707,36.6,0.762,고각도(내려다봄)
pothole,youtube-28_jpg.rf.8632f53957a6a911b82a6a663b2629e0.jpg,train,0.705,36.4,0.752,고각도(내려다봄)
pothole,images230_jpg.rf.fa71c0f107fe8029af0ff52963c0ca48.jpg,train,0.459,14.3,0.448,눈높이(정면)
pothole,youtube-31_jpg.rf.977e30e082288cf27570202a18b0729c.jpg,train,0.752,40.6,0.487,눈높이(정면)
pothole,youtube-29_jpg.rf.327ab9992302e9ab04f3eed437f1f6a8.jpg,train,0.861,50.4,0.639,고각도(내려다봄)
pothole,images191_jpg.rf.6488e9a7b8e9cb47a0c55d5c81a606c2.jpg,train,0.501,18.1,0.661,고각도(내려다봄)
pothole,youtube-2_jpg.rf.1f9f834fe05aa21d8b683b698da2dafc.jpg,train,0.516,19.4,0.828,고각도(내려다봄)
pothole,youtube-30_jpg.rf.21d4fb931baa3d5722f8c6c4fad52613.jpg,train,0.589,26.0,0.616,고각도(내려다봄)
pothole,youtube-28_jpg.rf.d636de3e1cef567c619a75c3268419b0.jpg,train,0.616,28.4,0.662,고각도(내려다봄)
pothole,images218_jpg.rf.eee761f99b26a0bf4aa6195ac3c6541d.jpg,train,0.737,39.3,0.877,고각도(내려다봄)
pothole,youtube-24_jpg.rf.2bdb2e2ba6ca510cb3ded8d92dc805df.jpg,train,0.343,3.9,0.368,눈높이(정면)
pothole,images218_jpg.rf.e845e6ed24aa162b9fc582e57946196c.jpg,train,0.737,39.3,0.877,고각도(내려다봄)
pothole,youtube-31_jpg.rf.a2f7a1044255727e9ed0ea26b425de4f.jpg,train,0.821,46.9,0.57,고각도(내려다봄)
pothole,youtube-29_jpg.rf.61c1941843cad86bd9e9d27b77557181.jpg,train,0.851,49.6,0.555,고각도(내려다봄)
pothole,youtube-25_jpg.rf.21db285dae8b4e5e99559c5a43d7b789.jpg,train,0.758,41.2,1.0,고각도(내려다봄)
pothole,youtube-30_jpg.rf.700cb05630cb9b2cc337f46cff7d3612.jpg,train,0.429,11.6,0.631,고각도(내려다봄)
pothole,images212_jpg.rf.9a0980fe7a3ff91b745ab2810727f59c.jpg,train,0.432,11.9,1.0,고각도(내려다봄)
pothole,youtube-31_jpg.rf.af68d7d871922eba01f723b8ba7b8d33.jpg,train,0.678,34.0,0.636,고각도(내려다봄)
pothole,youtube-24_jpg.rf.dde09d02b1bdeeb2c766a60c09dc6a71.jpg,train,0.75,40.5,0.893,고각도(내려다봄)
pothole,images179_jpg.rf.5a5c1d93f9df1d4678b78959ab0d8cd0.jpg,train,0.816,46.4,0.5,고각도(내려다봄)
pothole,youtube-32_jpg.rf.c57fe522643c045d3d41894a8715176c.jpg,train,0.712,37.1,0.589,고각도(내려다봄)
pothole,youtube-28_jpg.rf.5635d993a57c310b98ce0d5ff5f1f390.jpg,train,0.71,36.9,0.707,고각도(내려다봄)
pothole,images208_jpg.rf.7d5c45e712fcdf79c67f55d03b976271.jpg,train,0.171,-11.6,0.52,고각도(내려다봄)
pothole,youtube-30_jpg.rf.d234a626e15459437cb8baa23e6b4523.jpg,train,0.438,12.4,0.703,고각도(내려다봄)
pothole,images212_jpg.rf.e1b5d7228cb39acfd6a3e2dbf57f22fd.jpg,train,0.522,20.0,1.0,고각도(내려다봄)
pothole,youtube-29_jpg.rf.8d63947f1959a21b52b765d2b080bc21.jpg,train,0.831,47.8,0.531,고각도(내려다봄)
pothole,youtube-28_jpg.rf.18ce847e2c8688186be704d765e2e6e4.jpg,train,0.357,5.1,0.668,고각도(내려다봄)
pothole,images17_jpg.rf.16fc5fdafc2acfc9135c564a3c401603.jpg,train,0.761,41.5,0.661,고각도(내려다봄)
pothole,images229_jpg.rf.d17a1de1c9d9dee979d18f448c928eba.jpg,train,0.67,33.3,0.558,고각도(내려다봄)
pothole,images207_jpg.rf.5d5f56dc0b1205985520e7f094856b85.jpg,train,0.593,26.4,0.544,고각도(내려다봄)
pothole,images17_jpg.rf.07b2d693a3c4da5b1ee9ab7cef606e41.jpg,train,0.854,49.9,0.535,고각도(내려다봄)
pothole,youtube-29_jpg.rf.ff6ea8873a1a6724ffeb6b718dc1b917.jpg,train,0.859,50.3,0.523,고각도(내려다봄)
pothole,images224_jpg.rf.406b9ac5f4b8f64961910047b7ec277f.jpg,train,0.466,14.9,0.461,눈높이(정면)
pothole,youtube-27_jpg.rf.23d5f33b4da4a586a79c303121e65c8d.jpg,train,0.277,-2.0,0.667,고각도(내려다봄)
pothole,youtube-29_jpg.rf.3ee3e567b482cb5378422517ea11adb9.jpg,train,0.303,0.3,0.733,고각도(내려다봄)
pothole,images218_jpg.rf.045bfcf8f1afc63d19e42d2f1b9136df.jpg,train,0.766,42.0,0.869,고각도(내려다봄)
pothole,youtube-27_jpg.rf.ec7bdfacb4923dd86815619c25aa3e58.jpg,train,0.78,43.2,0.716,고각도(내려다봄)
pothole,images218_jpg.rf.0b7b14592ba7556b88c6046fd4acef7d.jpg,train,0.773,42.6,0.866,고각도(내려다봄)
pothole,youtube-2_jpg.rf.7ffae5557106cd687ea56dd0d7d808cf.jpg,train,0.53,20.7,0.407,눈높이(정면)
pothole,images229_jpg.rf.9ce40d2c6bc75bb5551bdaed96febef9.jpg,train,0.698,35.8,0.407,눈높이(정면)
pothole,youtube-31_jpg.rf.faa88dc504b8a9ad085890efef71102d.jpg,train,0.712,37.1,0.348,눈높이(정면)
pothole,images224_jpg.rf.3328252a2e6e5de6af6143437431344d.jpg,train,0.517,19.5,0.407,눈높이(정면)
pothole,images191_jpg.rf.c4092da453476fcce642d26e963f32b6.jpg,train,0.478,16.0,0.661,고각도(내려다봄)
pothole,images224_jpg.rf.8c8bdf3e4747812d382453fb5f6f209e.jpg,train,0.528,20.5,0.64,고각도(내려다봄)
pothole,images194_jpg.rf.173781cfffc58857db65c212cdf39be6.jpg,train,0.533,21.0,0.622,고각도(내려다봄)
pothole,youtube-30_jpg.rf.323a0f7048b8b86e600b546c1d5d088d.jpg,train,0.816,46.5,0.681,고각도(내려다봄)
pothole,youtube-26_jpg.rf.e8bffc55daf94d46c873c37e7d636003.jpg,train,0.374,6.6,0.617,고각도(내려다봄)
pothole,youtube-28_jpg.rf.0b60f570c8ec1b8466d1b6e9c761cdaf.jpg,train,0.705,36.4,0.7,고각도(내려다봄)
pothole,youtube-25_jpg.rf.586a5e8649d4062910d7b29f1e3f40be.jpg,train,0.255,-4.0,0.721,고각도(내려다봄)
pothole,images208_jpg.rf.e8e75abaf12b125b5ee453a59b525d40.jpg,train,0.202,-8.8,0.537,고각도(내려다봄)
pothole,youtube-28_jpg.rf.a45e10ccb31d010042f81de0efb53b3b.jpg,train,0.531,20.8,0.626,고각도(내려다봄)
pothole,images180_jpg.rf.61693e0b970400d1c973b89835229c43.jpg,train,0.761,41.5,0.452,눈높이(정면)
pothole,youtube-32_jpg.rf.70539c6984ad4357eda472c1d7a196a0.jpg,train,0.715,37.3,0.098,눈높이(정면)
pothole,youtube-25_jpg.rf.3e1fdb591224f8cf1980ffe2b8ae16c5.jpg,train,0.246,-4.8,0.529,고각도(내려다봄)
pothole,images219_jpg.rf.f695cb7ef990b3b024b03f380cf71f85.jpg,train,0.405,9.5,0.28,눈높이(정면)
pothole,youtube-25_jpg.rf.696ffddc16004137bcd3bab8a8903110.jpg,train,0.743,39.9,1.0,고각도(내려다봄)
pothole,images199_jpg.rf.9f4cd7ffb1faaeab34b2ebf174a65f51.jpg,train,0.666,32.9,0.597,고각도(내려다봄)
pothole,youtube-28_jpg.rf.deaf63858737419a74691395f2aa431e.jpg,train,0.531,20.8,0.626,고각도(내려다봄)
pothole,images199_jpg.rf.455135581eb31aa55e562369274437ad.jpg,train,0.64,30.6,0.559,고각도(내려다봄)
pothole,youtube-32_jpg.rf.305d69da80469839650cb4ba0529f77b.jpg,train,0.711,37.0,0.134,눈높이(정면)
pothole,youtube-29_jpg.rf.004ba699863246891d978cf352ab5c74.jpg,train,0.716,37.4,0.679,고각도(내려다봄)
pothole,images212_jpg.rf.60e9dd13f075c54bad98acb2c7a723ab.jpg,train,0.471,15.4,1.0,고각도(내려다봄)
pothole,youtube-30_jpg.rf.f862b94c366923537e8abd54db95c31d.jpg,train,0.589,26.0,0.54,고각도(내려다봄)
pothole,youtube-27_jpg.rf.47d1574c0cdeb9166fc4a0d6e4cf9b30.jpg,train,0.253,-4.2,0.605,고각도(내려다봄)
pothole,images218_jpg.rf.af0f9e36cca7aebdf45f6dfd05b260bc.jpg,train,0.72,37.8,0.907,고각도(내려다봄)
pothole,images198_jpg.rf.a8b60c2c3da0daee0eeb7b0e86b78c05.jpg,train,0.393,8.4,0.552,고각도(내려다봄)
pothole,youtube-26_jpg.rf.c9da06f1d1959ef4f2ce3b6ff5c217c4.jpg,train,0.253,-4.3,0.612,고각도(내려다봄)
pothole,youtube-29_jpg.rf.bfdfabd1c00e8c50eb6eb7017ff3c65d.jpg,train,0.834,48.0,0.615,고각도(내려다봄)
pothole,images218_jpg.rf.e784144167f1c4fd53806acc4a6c1e3b.jpg,train,0.746,40.1,0.849,고각도(내려다봄)
pothole,youtube-29_jpg.rf.74ec7362fd6ce4676d1957f57f7b248f.jpg,train,0.493,17.4,0.663,고각도(내려다봄)
pothole,images212_jpg.rf.f90e6fd649e95cb51fcd87eca892895d.jpg,train,0.5,18.0,0.925,고각도(내려다봄)
pothole,youtube-29_jpg.rf.418f9255739598e47f3422fb81ddcd8f.jpg,train,0.371,6.4,0.0,눈높이(정면)
pothole,youtube-29_jpg.rf.f7966e9fd5aa02960e8ddc5aabec5b3f.jpg,train,0.327,2.4,0.771,고각도(내려다봄)
pothole,images208_jpg.rf.aafac916927cb515153c38e6c5f05f2c.jpg,train,0.153,-13.2,0.565,고각도(내려다봄)
pothole,images211_jpg.rf.c8e7dd20712c73d0099f3207d4fbddd5.jpg,train,0.332,2.9,0.429,눈높이(정면)
pothole,images224_jpg.rf.4e14931a935202ce4b0a6d91012abb76.jpg,train,0.515,19.3,0.403,눈높이(정면)
pothole,youtube-26_jpg.rf.1949e809caf79290afe481da9719686a.jpg,train,0.383,7.5,0.764,고각도(내려다봄)
pothole,youtube-30_jpg.rf.c30991191654e2dd26f7b04d5b8822e8.jpg,train,0.812,46.1,0.69,고각도(내려다봄)
pothole,images208_jpg.rf.dff777b8710102b9302724ae67365daa.jpg,train,0.162,-12.4,0.595,고각도(내려다봄)
pothole,images175_jpg.rf.5bfb5db8b9d5aaf291a267f98d890e71.jpg,train,0.57,24.3,0.703,고각도(내려다봄)
pothole,images218_jpg.rf.3d78fddab4b7a31836920c1fafb1640d.jpg,train,0.759,41.3,0.863,고각도(내려다봄)
pothole,youtube-24_jpg.rf.937d2aa05282e9e9bec8b01ae77de44a.jpg,train,0.262,-3.4,0.514,고각도(내려다봄)
pothole,images199_jpg.rf.678a73fa060cfe9bcb7263ea5c4dd1f9.jpg,train,0.67,33.3,0.598,고각도(내려다봄)
pothole,youtube-26_jpg.rf.46dd10bc3e4a509fe7c5b911a2ec23d0.jpg,train,0.416,10.4,0.654,고각도(내려다봄)
pothole,youtube-29_jpg.rf.dc93b02ee75dfbdb338965f5f4c21a57.jpg,train,0.855,50.0,0.618,고각도(내려다봄)
pothole,images208_jpg.rf.41e98996f05ad80dafc1da1a1182f684.jpg,train,0.187,-10.2,0.509,고각도(내려다봄)
pothole,images208_jpg.rf.2e63c69d816262a5a28d3e4aaf71361a.jpg,train,0.131,-15.2,0.647,고각도(내려다봄)
pothole,images179_jpg.rf.50b4980ac3e506c9d06794bdacb23426.jpg,train,0.813,46.2,0.747,고각도(내려다봄)
pothole,youtube-30_jpg.rf.1ee0052c1499272bffc9a7a18dbc8a73.jpg,train,0.48,16.2,0.967,고각도(내려다봄)
pothole,images211_jpg.rf.cf88815653662958928d173c6b504ca9.jpg,train,0.826,47.3,0.453,눈높이(정면)
pothole,images194_jpg.rf.08406ebc0d690eb4b132bcffa5a43af4.jpg,train,0.571,24.4,0.644,고각도(내려다봄)
pothole,images207_jpg.rf.969fedb5838f858487bce8b4a9184ad6.jpg,train,0.585,25.6,0.617,고각도(내려다봄)
pothole,images155_jpg.rf.7d5b9194b036abf3d618e81544b01546.jpg,train,0.65,31.5,0.542,고각도(내려다봄)
pothole,youtube-23_jpg.rf.a4043d07d7ac7280206b9eacf103a6b2.jpg,train,0.781,43.3,0.563,고각도(내려다봄)
pothole,images180_jpg.rf.4b9241e5c7832835e0a02bffd941636b.jpg,train,0.748,40.3,0.583,고각도(내려다봄)
pothole,images218_jpg.rf.098fe1394e8199efd6a9e2305ab1c06b.jpg,train,0.719,37.7,0.86,고각도(내려다봄)
pothole,images198_jpg.rf.9cce5127603d94d2190094ecbf9a2da2.jpg,train,0.373,6.6,0.417,눈높이(정면)
pothole,youtube-27_jpg.rf.69588be8428c5f25a3e2b6192a862b2b.jpg,train,0.274,-2.3,0.664,고각도(내려다봄)
pothole,youtube-25_jpg.rf.61f16f01ca62ccc6707eff9a0de57dcf.jpg,train,0.246,-4.9,0.62,고각도(내려다봄)
pothole,youtube-26_jpg.rf.b2e2b27e1fa075ce5c6acdac34b5b35d.jpg,train,0.323,2.0,0.522,고각도(내려다봄)
pothole,images179_jpg.rf.6fc8a0fa153dd3c8c33808f2955b38f9.jpg,train,0.837,48.3,0.512,고각도(내려다봄)
pothole,youtube-2_jpg.rf.43f6bb7301e88df76fc9f70d42cc7435.jpg,train,0.559,23.3,0.748,고각도(내려다봄)
pothole,images175_jpg.rf.25ae65e2313549e32f0a727338426344.jpg,train,0.604,27.4,0.668,고각도(내려다봄)
pothole,youtube-31_jpg.rf.ccc9aa880cb0ec1886b9781c9a3de562.jpg,train,0.39,8.1,0.487,눈높이(정면)
pothole,images194_jpg.rf.9452345c5ea3ad0e1d7fe83c5ee35f5e.jpg,train,0.567,24.0,0.644,고각도(내려다봄)
pothole,images219_jpg.rf.68057f2bcf2bc40430826287d4d610a8.jpg,train,0.297,-0.3,0.425,눈높이(정면)
pothole,youtube-29_jpg.rf.087dcf7b2fde60a6039adadd3ed8fc8e.jpg,train,0.396,8.6,0.73,고각도(내려다봄)
pothole,youtube-31_jpg.rf.49ed7aaab0a539c64fdaa4219bb1087b.jpg,train,0.315,1.3,0.638,고각도(내려다봄)
pothole,youtube-30_jpg.rf.7a73530dc301fc77233d982140764346.jpg,train,0.459,14.3,1.0,고각도(내려다봄)
pothole,youtube-32_jpg.rf.d538037bf167de8a066fd5c903ef993a.jpg,train,0.721,37.9,0.476,눈높이(정면)
pothole,youtube-28_jpg.rf.19b057d893698d23ffb3ede1a40f595d.jpg,train,0.618,28.6,0.628,고각도(내려다봄)
pothole,youtube-26_jpg.rf.63d800f0f13f0706f4d80f86af539b96.jpg,train,0.389,8.0,0.7,고각도(내려다봄)
pothole,images180_jpg.rf.05454a652ad590dbcb4760ec1b078288.jpg,train,0.664,32.8,0.583,고각도(내려다봄)
pothole,images173_jpg.rf.79f19efc2ee8975be90cda2fbc00ce09.jpg,train,0.589,26.0,0.583,고각도(내려다봄)
pothole,images224_jpg.rf.118e7ba0c1a2aee6a8f1c7d7db72151f.jpg,train,0.472,15.5,0.257,눈높이(정면)
pothole,youtube-23_jpg.rf.bfafe779e2f95724aa39dcb0d5ab2ddc.jpg,train,0.692,35.3,1.0,고각도(내려다봄)
pothole,youtube-29_jpg.rf.149925a7af7577938a0185c90465da9f.jpg,train,0.852,49.6,0.628,고각도(내려다봄)
pothole,images211_jpg.rf.c25c283d9b32203a8e22831dad379161.jpg,train,0.308,0.7,0.522,고각도(내려다봄)
pothole,images218_jpg.rf.bd66fb97c394b0fc621fb73fefcd6452.jpg,train,0.756,41.1,0.867,고각도(내려다봄)
pothole,youtube-29_jpg.rf.78b05f7deb21a87e90cce6a39b991866.jpg,train,0.855,49.9,0.618,고각도(내려다봄)
pothole,images219_jpg.rf.9a7081d6053544fc40d95ff858e6ac7b.jpg,train,0.512,19.1,0.616,고각도(내려다봄)
pothole,youtube-26_jpg.rf.f99e43e6344f5d41530761ae4068fcdf.jpg,train,0.33,2.7,0.694,고각도(내려다봄)
pothole,images21_jpg.rf.49736fc33e4583d852da90792c4b24e9.jpg,train,0.252,-4.4,0.603,고각도(내려다봄)
pothole,images220_jpg.rf.4ef2eefdeea065b93c6f7ed0a6553e23.jpg,train,0.675,33.7,0.878,고각도(내려다봄)
pothole,images219_jpg.rf.84df6a56eeb9843b656c560a3e2456a4.jpg,train,0.436,12.2,0.979,고각도(내려다봄)
pothole,youtube-29_jpg.rf.3f0ccd2c80347c10a3f6dc5a2873b096.jpg,train,0.471,15.4,0.691,고각도(내려다봄)
pothole,youtube-27_jpg.rf.2df8da2fb149b03920a35a0f0ec48a02.jpg,train,0.763,41.7,0.659,고각도(내려다봄)
pothole,images179_jpg.rf.fe247a445099494b62ad7f72ffbe6f98.jpg,train,0.805,45.5,0.534,고각도(내려다봄)
pothole,images220_jpg.rf.a31b957332957052a15f10ad6d65b73a.jpg,train,0.577,25.0,0.443,눈높이(정면)
pothole,youtube-23_jpg.rf.b4597b3da0059ca4329c29c86adf3194.jpg,train,0.83,47.7,0.524,고각도(내려다봄)
pothole,images180_jpg.rf.c39350450dc7dc33032de7a3e445c2c6.jpg,train,0.772,42.5,0.575,고각도(내려다봄)
pothole,images21_jpg.rf.8533cdd93bc6ea466519b7d374d1915c.jpg,train,0.262,-3.4,0.65,고각도(내려다봄)
pothole,youtube-29_jpg.rf.b3e360d21874c1d4992ad4703aa9b959.jpg,train,0.855,50.0,0.538,고각도(내려다봄)
pothole,images191_jpg.rf.9b91b50d686bde20c623b719d88745a0.jpg,train,0.464,14.8,0.679,고각도(내려다봄)
pothole,youtube-29_jpg.rf.4a767147e4ec06b9d7fcd42a754c3034.jpg,train,0.844,48.9,0.637,고각도(내려다봄)
pothole,youtube-26_jpg.rf.1cb585bd1d929d51227fc7f87e7427f3.jpg,train,0.383,7.5,0.764,고각도(내려다봄)
pothole,youtube-2_jpg.rf.185f85404da1d5a9b0b41c3ed73b8c3d.jpg,train,0.508,18.7,0.707,고각도(내려다봄)
pothole,images218_jpg.rf.72d154de0e08077f0fffe7424f9a2625.jpg,train,0.766,42.0,0.869,고각도(내려다봄)
pothole,youtube-29_jpg.rf.4c46ff7e5d256885877dfa342ed040d6.jpg,train,0.848,49.3,0.648,고각도(내려다봄)
pothole,images212_jpg.rf.422581f770e7b26fb35c836b89b457bf.jpg,train,0.489,17.0,1.0,고각도(내려다봄)
pothole,youtube-32_jpg.rf.f05963c9c5a28bec42cc67359439229b.jpg,train,0.718,37.6,0.632,고각도(내려다봄)
pothole,youtube-27_jpg.rf.bdd90b6e4721c44fe553a8b096910c6c.jpg,train,0.222,-7.0,0.521,고각도(내려다봄)
pothole,images208_jpg.rf.1f66c248b3250e374cefd4afcd716316.jpg,train,0.117,-16.5,0.597,고각도(내려다봄)
pothole,youtube-25_jpg.rf.6a09e10b0f0d83192cfcfdbfd8350c34.jpg,valid,0.501,18.1,0.508,고각도(내려다봄)
pothole,youtube-23_jpg.rf.512f321a207324b58516dd17ab636506.jpg,valid,0.795,44.6,0.603,고각도(내려다봄)
pothole,youtube-31_jpg.rf.22ba4d2fddab4e618f0c44eefa59d99d.jpg,valid,0.712,37.1,0.574,고각도(내려다봄)
pothole,youtube-26_jpg.rf.7cacf79772607283eb012d677e1b7046.jpg,valid,0.328,2.5,0.709,고각도(내려다봄)
pothole,youtube-28_jpg.rf.cbf313c68aac913aa12fb3c948e2a49c.jpg,valid,0.345,4.1,0.527,고각도(내려다봄)
pothole,images173_jpg.rf.f788f222154930203b35c37f9c587843.jpg,valid,0.584,25.5,0.746,고각도(내려다봄)
pothole,youtube-28_jpg.rf.41e3324469af8c4c1d8b940ee379aa0f.jpg,valid,0.427,11.5,0.764,고각도(내려다봄)
pothole,images194_jpg.rf.fad5212abf2872b35f79862183fd3103.jpg,valid,0.505,18.5,0.621,고각도(내려다봄)
pothole,youtube-31_jpg.rf.df7976178b68eae1f0b9d27d13e304d4.jpg,valid,0.619,28.7,0.618,고각도(내려다봄)
pothole,images212_jpg.rf.db139785c315ca1444ead4c4708d9394.jpg,valid,0.496,17.6,1.0,고각도(내려다봄)
pothole,youtube-25_jpg.rf.6d0c7f918022cd4aa72116eabbcdee28.jpg,valid,0.699,35.9,1.0,고각도(내려다봄)
pothole,images208_jpg.rf.c2d5286ede3e78b5e073328b8adbb7d3.jpg,valid,0.166,-12.1,0.539,고각도(내려다봄)
pothole,youtube-28_jpg.rf.3098a84cabd82c0806d3a13c137cdcd1.jpg,valid,0.704,36.4,0.665,고각도(내려다봄)
pothole,youtube-25_jpg.rf.b764dbecae5e5bba8f43e599cb0ca6e6.jpg,valid,0.727,38.4,0.556,고각도(내려다봄)
pothole,images224_jpg.rf.f9b112e22832304d1b1646fd15f9f855.jpg,valid,0.459,14.3,0.32,눈높이(정면)
pothole,youtube-30_jpg.rf.a8cc960b8016f5c60a840aa9f566fda8.jpg,valid,0.811,46.0,0.667,고각도(내려다봄)
pothole,youtube-29_jpg.rf.b841e921ab90eec8ab25edb18a23820e.jpg,valid,0.459,14.3,0.637,고각도(내려다봄)
pothole,youtube-31_jpg.rf.bc566141dcb7a27adad1b6cd44f8d1aa.jpg,valid,0.619,28.7,0.618,고각도(내려다봄)
pothole,youtube-32_jpg.rf.86e02798a3b2119953c28784aa40f10a.jpg,valid,0.717,37.5,0.393,눈높이(정면)
pothole,youtube-28_jpg.rf.c6e7bcb42b97cf62f89c0c3ab4d15ab5.jpg,valid,0.453,13.8,0.459,눈높이(정면)
pothole,youtube-28_jpg.rf.8907e533489a428ca81646530201847c.jpg,valid,0.453,13.8,0.459,눈높이(정면)
pothole,youtube-24_jpg.rf.e8864bc84a54d0d7f91b0be97091f857.jpg,valid,0.309,0.8,0.435,눈높이(정면)
pothole,youtube-27_jpg.rf.98cdb3000b6708b74b9a4a83786a0c81.jpg,valid,0.766,42.0,0.55,고각도(내려다봄)
pothole,youtube-29_jpg.rf.ab9b6abdd1f8721a9e0397cff1f13ea9.jpg,valid,0.459,14.3,0.637,고각도(내려다봄)
pothole,images198_jpg.rf.e16312bd3bdc67ccdb0d9e9abb6d4253.jpg,valid,0.456,14.1,0.592,고각도(내려다봄)
pothole,youtube-24_jpg.rf.c887c50faa44340baba7109b935c079f.jpg,valid,0.355,4.9,0.408,눈높이(정면)
pothole,youtube-27_jpg.rf.4ace5c65b47d1cbc3c03d64fed0b9950.jpg,valid,0.227,-6.6,0.655,고각도(내려다봄)
pothole,youtube-31_jpg.rf.1a690a24aa6fa6230117ff2832070908.jpg,valid,0.619,28.7,0.624,고각도(내려다봄)
pothole,youtube-31_jpg.rf.fd1d20b9d96271c0741c962a6f3f26bb.jpg,valid,0.712,37.1,0.574,고각도(내려다봄)
pothole,youtube-29_jpg.rf.ae323a46637abf64f330677b1b9b525d.jpg,valid,0.493,17.4,0.694,고각도(내려다봄)
pothole,youtube-32_jpg.rf.db572e86388741a6c9f414bc3af33491.jpg,valid,0.717,37.5,0.393,눈높이(정면)
pothole,images212_jpg.rf.6e91dd246f65cf7a68fc1996fb72abaf.jpg,valid,0.528,20.5,1.0,고각도(내려다봄)
pothole,youtube-23_jpg.rf.09cb5ed2950b66065e96cacb513ed608.jpg,valid,0.681,34.3,0.813,고각도(내려다봄)
pothole,images228_jpg.rf.56597ea9ffa67340db087a5e28c70881.jpg,valid,0.844,48.9,0.67,고각도(내려다봄)
pothole,youtube-23_jpg.rf.c922adebfd3751ae2ddf896566651c23.jpg,test,0.681,34.3,1.0,고각도(내려다봄)
pothole,images180_jpg.rf.80399e7b30d29663c9f54f3a9f075a41.jpg,test,0.772,42.5,0.461,눈높이(정면)
pothole,youtube-27_jpg.rf.9b0f2214d5e859c9d1aba26b465063db.jpg,test,0.265,-3.2,0.605,고각도(내려다봄)
pothole,youtube-32_jpg.rf.ebeffb3ad83c6cf6e18805415700c101.jpg,test,0.688,34.9,0.51,고각도(내려다봄)
pothole,youtube-28_jpg.rf.763ee89b01225713f24e41c7b87bb4bb.jpg,test,0.443,12.9,0.611,고각도(내려다봄)
